date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2019-06-04,Running,False,Lafayette Running,14.09,"1,681",01:46:07,164,184,4.8,172,210,0 days 00:07:32,0 days 00:05:35,376,373,1.24,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:46:07,0:00,0.0,0:00,No,00:45.23,15,0.0,4,garmin,0
2019-06-05,Cycling,False,Lafayette Cycling,2.02,119,00:12:12,0,0,0.0,0,0,9.9,15.3,43,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,12:12,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,0
2019-06-05,Cycling,False,Lafayette Cycling,1.71,83,00:08:33.3,0,0,0.0,0,0,12.0,18.8,0,27,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,8:33.3,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,0
2019-06-05,Running,False,Lafayette Running,6.11,714,00:49:24,148,161,3.2,168,176,0 days 00:08:05,0 days 00:07:19,167,154,1.18,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,49:24,0:00,0.0,0:00,No,01:01.11,7,0.0,4,garmin,0
2019-06-06,Running,False,Lafayette Running,5.11,583,00:43:35,142,162,2.8,169,177,0 days 00:08:32,0 days 00:07:08,130,120,1.12,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,43:35,0:00,0.0,0:00,No,00:57.81,6,0.0,4,garmin,0
2019-06-07,Running,False,Broomfield Running,18.01,"2,234",02:26:30,162,187,4.5,169,179,0 days 00:08:08,0 days 00:05:59,554,788,1.17,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2:26:30,0:00,0.0,0:00,No,00:04.09,19,0.0,4,garmin,0
2019-06-08,Cycling,False,Lafayette Cycling,4.88,232,00:28:15,0,0,0.0,0,0,10.4,18.9,60,46,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,28:15,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,0
2019-06-09,Cycling,False,Wheat Ridge Cycling,30.95,"1,149",02:26:10,122,166,2.2,0,0,12.7,28.1,"2,194","2,191",0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2:26:10,0:00,0.0,0:00,No,03:55.36,7,0.0,4,garmin,0
2019-06-10,Running,False,Lafayette Running,3.10,380,00:24:49,153,165,2.9,167,172,0 days 00:08:01,0 days 00:07:16,112,102,1.2,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,24:49,0:00,0.0,0:00,No,00:44.05,4,0.0,4,garmin,0
2019-06-10,Running,False,Lafayette Running,3.06,346,00:24:45,146,161,2.5,167,174,0 days 00:08:05,0 days 00:07:01,110,109,1.19,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,24:45,0:00,0.0,0:00,No,00:27.76,4,0.0,4,garmin,0
