,index,date,activity_type,date.1,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
43,67,2020-11-16 09:46:00,Running,11/16/2020 9:46,False,Untitled,7.27,719,1:04:19,138,184,3.3,170,183,0 days 00:08:51,0 days 00:07:40,322,364,1.07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:04:19,0:00,55.4,0:00,No,02:11.8,8,0,35,15,44,1,garmin,0,44.29160935350757,0.75,9.943502824858758,6.779661016949153,9.94385267080218,13.25847022773624
44,69,2020-11-15 09:37:00,Running,11/15/2020 9:37,False,Untitled,6.18,857,0:55:17,156,185,4.8,170,178,0 days 00:08:57,0 days 00:07:47,305,341,1.06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55:17:00,0:00,46.4,0:00,No,01:39.5,7,0,17,17,17,1,garmin,0,49.35275080906149,0.8478260869565217,9.832402234636872,6.703910614525141,9.83283174637683,11.597698982906003
45,72,2020-11-11 10:46:00,Running,11/11/2020 10:46,False,Untitled,7.02,691,0:58:53,133,152,3.0,173,185,0 days 00:08:23,0 days 00:07:19,486,482,1.11,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58:53:00,0:00,51.8,0:00,No,00:07.1,8,0,34,14,47,1,garmin,0,69.23076923076924,0.7228260869565217,10.497017892644136,7.1570576540755475,10.497920185972282,14.523438452773684
46,74,2020-11-09 13:33:00,Running,11/9/2020 13:33,False,Untitled,7.23,731,0:59:32,136,155,3.4,176,185,0 days 00:08:14,0 days 00:07:21,410,469,1.11,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59:32:00,0:00,51.8,0:00,No,01:53.4,8,0,35,14,47,1,garmin,0,56.708160442600274,0.7391304347826086,10.68825910931174,7.287449392712551,10.688875544934833,14.461419854911833
47,76,2020-11-07 07:44:00,Running,11/7/2020 7:44,False,Untitled,8.26,709,1:10:03,130,150,2.8,173,185,0 days 00:08:29,0 days 00:07:27,394,436,1.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:10:03,0:00,53.6,0:00,No,02:04.7,9,0,15,15,15,1,garmin,0,47.699757869249396,0.7065217391304348,10.37328094302554,7.072691552062869,10.373704236708804,14.682781381187844
48,77,2020-11-05 09:31:00,Running,11/5/2020 9:31,False,Untitled,7.15,607,1:02:12,130,185,3.0,172,181,0 days 00:08:42,0 days 00:07:42,377,387,1.08,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:02:12,0:00,59.0,0:00,No,01:15.9,8,0,33,14,46,1,garmin,0,52.72727272727273,0.7065217391304348,10.114942528735632,6.8965517241379315,10.115446871005297,14.317247878961343
49,81,2020-11-02 09:46:00,Running,11/2/2020 9:46,False,Untitled,7.32,648,1:01:51,132,151,3.0,174,185,0 days 00:08:27,0 days 00:07:21,430,499,1.09,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:01:51,0:00,53.6,0:00,No,02:45.8,8,0,36,16,46,1,garmin,0,58.7431693989071,0.717391304347826,10.414201183431953,7.100591715976332,10.414845693094918,14.517663693405037
50,83,2020-10-31 09:34:00,Running,10/31/2020 9:34,False,Untitled,8.61,740,1:14:28,136,150,3.3,174,222,0 days 00:08:39,0 days 00:07:40,377,420,1.07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:14:28,0:00,59.0,0:00,No,05:09.9,9,0,34,14,44,1,garmin,0,43.786295005807204,0.7391304347826086,10.173410404624278,6.936416184971098,10.17376021900154,13.764499119825613
51,86,2020-10-29 14:36:00,Running,10/29/2020 14:36,False,Untitled,7.24,629,1:07:39,136,180,3.7,161,182,0 days 00:09:21,0 days 00:07:59,256,236,1.07,7.4,8.0,276,50.7% L / 49.3% R,0,0,0,0,0,0,0,0,0,0,0,0,1:07:39,0:00,62.6,0:00,No,02:10.6,8,0,33,18,42,1,garmin,0,35.35911602209945,0.7391304347826086,9.411764705882351,6.4171122994652405,9.411975748978495,12.733849542735612
52,90,2020-10-24 10:16:00,Running,10/24/2020 10:16,False,Untitled,6.16,550,0:56:56,129,189,3.0,164,176,0 days 00:09:15,0 days 00:08:11,292,243,1.06,7.1,7.7,273,50.6% L / 49.4% R,0,0,0,0,0,0,0,0,0,0,0,0,56:56:00,0:00,48.2,0:00,No,01:25.2,7,0,36,16,46,1,garmin,0,47.4025974025974,0.7010869565217391,9.513513513513514,6.486486486486487,9.51389690161156,13.570209534081604
