,index,date,activity_type,date.1,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
48,128,2020-09-07 19:19:14,Running,2020-09-07 19:19:14,False,Longview - Easy Run,2.62,265,0:30:05,153,172,159,169,11:29,1:49,125,131,0.88,0,0,0,0,0,0,0,0,0,0,1:6:05:00.000,0:00,0,0:00,No,00:04.69,5,0,10,garmin,0,0 days 00:11:29,0 days 00:11:29,47.70992366412214,0.7688442211055276,7.663280116110305,5.2249637155297535,7.663592958387616,9.96767973019043
49,132,2020-09-05 13:39:40,Running,2020-09-05 13:39:40,False,Longview - Easy Run,3.88,439,0:50:03,163,181,139,183,12:54,10:20,295,374,0.91,0,0,0,0,0,0,0,0,0,0,2:2:03,0:00,0,0:00,No,00:03.22,7,0,10,garmin,0,0 days 00:12:54,0 days 00:12:54,76.03092783505154,0.8190954773869347,6.821705426356589,4.651162790697675,6.822412644168843,8.32920316680736
50,134,2020-09-03 17:26:15,Running,2020-09-03 17:26:15,False,Longview - Easy Run,2.73,273,0:30:02,156,179,162,176,11:01,9:33,164,157,0.9,0,0,0,0,0,0,0,0,0,0,1:6:02,0:00,0,0:00,No,00:02.29,5,0,10,garmin,0,0 days 00:11:01,0 days 00:11:01,60.07326007326007,0.7839195979899497,7.987897125567321,5.446293494704992,7.988414116552589,10.190348776884392
51,145,2020-08-22 06:57:28,Running,2020-08-22 6:57:28,False,Longview Running,4.0,432,0:48:40,161,179,148,170,12:10,9:49,587,659,0.89,0,0,0,0,0,0,0,0,0,0,2:0:40,0:00,0,0:00,No,00:03.16,5,0,10,garmin,0,0 days 00:12:10,0 days 00:12:10,146.75,0.8090452261306532,7.232876712328767,4.931506849315069,7.235669806603742,8.943467649156178
52,148,2020-08-19 18:59:04,Running,2020-08-19 18:59:04,False,Longview Running,3.0,329,0:34:01,169,182,162,170,11:19,9:59,56,121,0.87,0,0,0,0,0,0,0,0,0,0,1:10:01,0:00,0,0:00,No,00:03.17,4,0,10,garmin,0,0 days 00:11:19,0 days 00:11:19,18.666666666666668,0.8492462311557789,7.776141384388806,5.3019145802650955,7.776189980161845,9.156578734036728
53,149,2020-08-19 06:51:58,Running,2020-08-19 6:51:58,False,Longview Running,1.33,134,0:15:01,148,170,162,172,11:16,10:03,36,66,0.88,0,0,0,0,0,0,0,0,0,0,15:01,0:00,0,0:00,No,03:38.36,2,0,10,garmin,0,0 days 00:11:16,0 days 00:11:16,27.06766917293233,0.7437185929648241,7.8106508875739635,5.325443786982248,7.810753520864271,10.502296963864797
54,154,2020-08-12 20:02:35,Running,2020-08-12 20:02:35,False,Longview Running,2.0,212,0:21:58,164,177,163,172,10:58,9:27,118,105,0.91,0,0,0,0,0,0,0,0,0,0,21:58,0:00,0,0:00,No,00:02.74,3,0,10,garmin,0,0 days 00:10:58,0 days 00:10:58,59.0,0.8241206030150754,8.024316109422491,5.47112462006079,8.02481706665978,9.737430465032295
55,162,2020-08-04 12:03:04,Running,2020-08-04 12:03:04,False,Longview Running,2.01,216,0:22:59,160,176,154,174,11:28,9:51,207,236,0.91,0,0,0,0,0,0,0,0,0,0,22:59,0:00,0,0:00,No,00:02.15,3,0,10,garmin,0,0 days 00:11:28,0 days 00:11:28,102.98507462686568,0.8040201005025126,7.674418604651161,5.232558139534883,7.675878275451294,9.546873605092546
56,171,2020-07-25 07:17:59,Running,2020-07-25 7:17:59,False,Longview Running,3.0,319,0:34:37,162,183,157,170,11:31,9:59,154,197,0.89,0,0,0,0,0,0,0,0,0,0,1:10:37:00.000,0:00,0,0:00,No,00:02.48,4,0,10,garmin,0,0 days 00:11:31,0 days 00:11:31,51.333333333333336,0.8140703517587939,7.6410998552821985,5.209840810419681,7.641460971259992,9.38673292148604
57,174,2020-07-21 19:43:13,Running,2020-07-21 19:43:13,False,Longview Running,1.01,103,0:11:29,156,173,163,170,11:25,10:25,59,112,0.86,0,0,0,0,0,0,0,0,0,0,11:29,0:00,0,0:00,No,00:03.88,2,0,10,garmin,0,0 days 00:11:25,0 days 00:11:25,58.415841584158414,0.7839195979899497,7.708029197080292,5.255474452554745,7.708500927080807,9.833280028776159
58,176,2020-07-20 18:54:34,Running,2020-07-20 18:54:34,False,Longview Running,1.01,80,0:10:40,128,141,163,172,10:32,9:24,154,105,0.94,0,0,0,0,0,0,0,0,0,0,10:40,0:00,0,0:00,No,00:09.75,2,0,10,garmin,0,0 days 00:10:32,0 days 00:10:32,152.47524752475246,0.6432160804020101,8.354430379746836,5.69620253164557,8.3579131688972,12.993943129769866
59,177,2020-07-20 12:06:03,Running,2020-07-20 12:06:03,False,Longview Running,2.0,203,0:22:54,149,173,160,172,11:26,10:09,295,341,0.88,0,0,0,0,0,0,0,0,0,0,22:54,0:00,0,0:00,No,00:02.33,3,0,10,garmin,0,0 days 00:11:26,0 days 00:11:26,147.5,0.7487437185929648,7.6967930029154505,5.247813411078717,7.699795698469038,10.283619758357977
60,180,2020-07-18 06:23:34,Running,2020-07-18 6:23:34,False,Longview Running,3.16,336,0:37:38,160,176,162,176,11:54,10:12,108,154,0.84,0,0,0,0,0,0,0,0,0,0,1:13:38,0:00,0,0:00,No,01:47.35,4,0,10,garmin,0,0 days 00:11:54,0 days 00:11:54,34.177215189873415,0.8040201005025126,7.394957983193277,5.042016806722689,7.3951129029001885,9.197671672982109
61,182,2020-07-16 18:22:10,Running,2020-07-16 18:22:10,False,Longview Running,2.62,285,0:30:01,163,183,162,177,11:29,10:07,157,187,0.86,0,0,0,0,0,0,0,0,0,0,1:6:01:00.000,0:00,0,0:00,No,07:00.72,3,0,10,garmin,0,0 days 00:11:29,0 days 00:11:29,59.9236641221374,0.8190954773869347,7.663280116110305,5.2249637155297535,7.663773630247583,9.35638621116116
