date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace
2020-12-03 18:57:35,Yoga,2020-12-03 18:57:35,False,Yoga,0,41,0:10:27,99,129,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,10:27,0:00,0,0:00,No,10:26.57,1,0,10,garmin,0,00:00:00,00:00:00
2020-12-03 18:25:14,Treadmill Running,2020-12-03 18:25:14,False,Treadmill Running,2.55,280,0:29:05,162,179,146,173,11:23,6:08,0,0,0.97,0,0,0,0,0,0,0,0,0,0,1:5:05,0:00,0,0:00,No,06:28.52,3,0,10,garmin,0,0 days 00:11:23,0 days 00:11:23
2020-12-02 18:29:27,Treadmill Running,2020-12-02 18:29:27,False,Treadmill Running,1.81,189,0:20:00,160,183,150,180,11:02,6:08,0,0,0.97,0,0,0,0,0,0,0,0,0,0,20:00,0:00,0,0:00,No,08:46.11,2,0,10,garmin,0,0 days 00:11:02,0 days 00:11:02
2020-12-01 17:54:30,Running,2020-12-01 17:54:30,False,Longview Running,4.01,425,0:44:26,165,180,164,180,11:05,8:47,141,138,0.88,0,0,0,0,0,0,0,0,0,0,1:20:26,0:00,0,0:00,No,00:06.62,5,0,10,garmin,0,0 days 00:11:05,0 days 00:11:05
2020-11-30 21:19:30,Strength Training,2020-11-30 21:19:30,False,Strength,0,41,0:15:20,98,116,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,154,15,15:20,0:00,0,0:00,No,15:19.71,1,0,10,garmin,0,00:00:00,00:00:00
2020-11-30 20:26:33,Running,2020-11-30 20:26:33,False,Longview Running,2,202,0:21:33,158,177,167,175,10:45,9:33,62,85,0.9,0,0,0,0,0,0,0,0,0,0,21:33,0:00,0,0:00,No,00:02.89,3,0,10,garmin,0,0 days 00:10:45,0 days 00:10:45
2020-11-28 20:13:44,Running,2020-11-28 20:13:44,False,Longview Running,3.51,358,0:37:35,165,179,166,182,10:43,9:24,102,292,0.9,0,0,0,0,0,0,0,0,0,0,1:13:35,0:00,0,0:00,No,05:24.27,4,0,10,garmin,0,0 days 00:10:43,0 days 00:10:43
2020-11-26 07:21:09,Running,2020-11-26 7:21:09,False,Longview Running,3.1,321,0:33:50,165,184,166,172,10:55,9:57,105,210,0.89,0,0,0,0,0,0,0,0,0,0,1:9:50:00.000,0:00,0,0:00,No,01:10.31,4,0,10,garmin,0,0 days 00:10:55,0 days 00:10:55
2020-11-24 12:07:56,Treadmill Running,2020-11-24 12:07:56,False,Treadmill Running,2.8,292,0:30:46,160,186,154,170,11:00,6:42,0,0,0.95,0,0,0,0,0,0,0,0,0,0,1:6:46:00.000,0:00,0,0:00,No,08:53.77,3,0,10,garmin,0,0 days 00:11:00,0 days 00:11:00
2020-11-21 16:40:27,Treadmill Running,2020-11-21 16:40:27,False,Treadmill Running,3,322,0:33:30,165,181,155,174,11:09,8:04,0,0,0.93,0,0,0,0,0,0,0,0,0,0,1:9:30,0:00,0,0:00,No,00:01.94,4,0,10,garmin,0,0 days 00:11:09,0 days 00:11:09
2020-11-20 18:32:00,Yoga,2020-11-20 18:32:00,False,Yoga,0,71,0:20:20,95,123,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,20:20,0:00,0,0:00,No,20:19.90,1,0,10,garmin,0,00:00:00,00:00:00
2020-11-20 17:58:50,Indoor Cycling,2020-11-20 17:58:50,False,Indoor Cycling,0,221,0:30:00,136,166,0,0,0,0,0,0,0.0,0,0,58,99,0,0,0,1757,0,0,1:6,0:00,0,0:00,No,30:00.44,1,0,10,garmin,0,00:00:00,00:00:00
2020-11-19 18:23:59,Treadmill Running,2020-11-19 18:23:59,False,Treadmill Running,2.8,310,0:32:07,163,187,151,175,11:28,7:41,0,0,0.93,0,0,0,0,0,0,0,0,0,0,1:8:07,0:00,0,0:00,No,08:59.57,3,0,10,garmin,0,0 days 00:11:28,0 days 00:11:28
2020-11-17 17:51:11,Indoor Cycling,2020-11-17 17:51:11,False,Indoor Cycling,0,241,0:30:01,143,173,0,0,0,0,0,0,0.0,0,0,70,115,0,0,0,2117,0,0,1:6:01:00.000,0:00,0,0:00,No,30:01.19,1,0,10,garmin,0,00:00:00,00:00:00
2020-11-16 18:34:55,Treadmill Running,2020-11-16 18:34:55,False,Treadmill Running,2.55,295,0:29:07,170,192,148,247,11:24,7:21,0,0,0.95,0,0,0,0,0,0,0,0,0,0,1:5:07,0:00,0,0:00,No,06:15.05,3,0,10,garmin,0,0 days 00:11:24,0 days 00:11:24
2020-11-15 12:38:58,Indoor Cycling,2020-11-15 12:38:58,False,Indoor Cycling,0,266,0:30:00,154,179,0,0,0,0,0,0,0.0,0,0,69,110,0,0,0,2100,0,0,1:6,0:00,0,0:00,No,30:00.49,1,0,10,garmin,0,00:00:00,00:00:00
2020-11-14 19:28:15,Running,2020-11-14 19:28:15,False,Longview Running,1.17,117,0:12:35,156,178,165,176,10:43,9:31,43,36,0.91,0,0,0,0,0,0,0,0,0,0,12:35,0:00,0,0:00,No,01:50.96,2,0,10,garmin,0,0 days 00:10:43,0 days 00:10:43
2020-11-12 08:22:11,Walking,2020-11-12 8:22:11,False,Longview Walking,2.06,174,0:44:12,94,105,100,136,21:26,17:01,0,39,0.75,0,0,0,0,0,0,0,0,0,0,1:20:12,0:00,0,0:00,No,01:21.26,3,0,10,garmin,0,0 days 00:21:26,0 days 00:21:26
2020-11-11 17:52:00,Walking,2020-11-11 17:52:00,False,Longview Walking,1.52,147,0:32:41,98,120,83,222,21:30,13:57,174,52,0.9,0,0,0,0,0,0,0,0,0,0,1:8:41,0:00,0,0:00,No,11:19.07,2,0,10,garmin,0,0 days 00:21:30,0 days 00:21:30
2020-11-11 17:33:33,Strength Training,2020-11-11 17:33:33,False,Strength,0,74,0:10:02,133,152,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,9,1,10:02,0:00,0,0:00,No,10:01.80,1,0,10,garmin,0,00:00:00,00:00:00
2020-11-11 17:01:41,Treadmill Running,2020-11-11 17:01:41,False,Treadmill Running,2.19,236,0:24:59,161,179,154,170,11:25,8:03,0,0,0.91,0,0,0,0,0,0,0,0,0,0,1:0:59,0:00,0,0:00,No,02:07.34,3,0,10,garmin,0,0 days 00:11:25,0 days 00:11:25
2020-11-10 19:26:42,Walking,2020-11-10 19:26:42,False,Longview Walking,1.88,163,0:40:03,85,106,90,126,21:15,18:04,43,49,0.85,0,0,0,0,0,0,0,0,0,0,1:16:03,0:00,0,0:00,No,18:51.77,2,0,10,garmin,0,0 days 00:21:15,0 days 00:21:15
2020-11-09 10:39:42,Walking,2020-11-09 10:39:42,False,Kilgore Walking,1.21,118,0:35:38,94,115,69,226,1:5:32,18:04,30,30,0.8,0,0,0,0,0,0,0,0,0,0,1:11:38,0:00,0,0:00,No,06:13.44,2,0,10,garmin,0,0 days 00:05:32,0 days 00:05:32
2020-11-08 19:37:55,Running,2020-11-08 19:37:55,False,Longview Running,2.01,207,0:22:23,163,179,164,176,11:08,9:37,66,82,0.88,0,0,0,0,0,0,0,0,0,0,22:23,0:00,0,0:00,No,00:07.34,3,0,10,garmin,0,0 days 00:11:08,0 days 00:11:08
2020-11-08 08:49:52,Walking,2020-11-08 8:49:52,False,Longview Walking,2.12,186,0:45:40,101,131,91,155,21:33,12:40,20,33,0.83,0,0,0,0,0,0,0,0,0,0,1:21:40,0:00,0,0:00,No,02:36.15,3,0,10,garmin,0,0 days 00:21:33,0 days 00:21:33
2020-11-05 18:18:02,Running,2020-11-05 18:18:02,False,Longview Running,3.01,310,0:34:02,162,186,165,179,11:18,10:03,82,194,0.86,0,0,0,0,0,0,0,0,0,0,1:10:02,0:00,0,0:00,No,00:06.68,4,0,10,garmin,0,0 days 00:11:18,0 days 00:11:18
2020-11-03 18:06:46,Running,2020-11-03 18:06:46,False,Longview Running,4.01,413,0:43:17,166,186,164,182,10:47,1:34,144,148,0.91,0,0,0,0,0,0,0,0,0,0,1:19:17,0:00,0,0:00,No,00:08.33,5,0,10,garmin,0,0 days 00:10:47,0 days 00:10:47
2020-11-02 18:21:16,Running,2020-11-02 18:21:16,False,Longview Running,3,318,0:34:31,164,177,163,172,11:30,10:18,207,230,0.86,0,0,0,0,0,0,0,0,0,0,1:10:31:00.000,0:00,0,0:00,No,00:04.11,4,0,10,garmin,0,0 days 00:11:30,0 days 00:11:30
