date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,max_depth,bottom_time,min_temp,gas_type,surface_interval,decompression,weight,current,surface_conditions,water_type,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,stress_change,stress_start,stress_end,athlete_id,filetype,is_race
2020-11-17 12:51:10,Running,2020-11-17 12:51:10,False,Denver Running,2.54,308,00:21:42,170,187,3.6,148,234,0 days 00:08:34,0 days 00:07:11,23,16,1.27,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,21:42,0,0:00,82.4,0,0:00,No,0,0,0,0,04:38.08,3,0.0,23,23,23,0,0,0,8,garmin,0
2020-11-15 15:22:53,Running,2020-11-15 15:22:53,False,Denver Running,5.64,774,00:54:10,175,191,5.0,147,159,0 days 00:09:37,0 days 00:07:19,95,108,1.14,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,54:10,0,0:00,75.2,0,0:00,No,0,0,0,0,06:32.37,6,0.0,19,19,19,0,0,0,8,garmin,0
2020-11-13 10:12:27,Running,2020-11-13 10:12:27,False,Denver Running,2.56,332,00:25:42,158,178,3.5,138,159,0 days 00:10:02,0 days 00:08:27,30,26,1.17,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,25:42,0,0:00,77.0,0,0:00,No,0,0,0,0,05:40.27,3,0.0,15,15,15,0,0,0,8,garmin,0
2020-11-08 13:08:52,Running,2020-11-08 13:08:52,False,Denver - RL2,5.38,678,00:58:37,156,175,3.6,144,202,0 days 00:10:54,0 days 00:09:11,217,236,1.03,12.5,13.1,316,50.3% L / 49.7% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,58:37,0,0:00,71.6,0,0:00,No,0,0,0,0,04:17.35,6,0.0,31,18,39,0,0,0,8,garmin,0
2020-11-07 14:09:25,Walking,2020-11-07 14:09:25,False,Denver Walking,1.94,250,00:58:17,94,126,0.3,48,158,0 days 00:30:00,0 days 00:11:56,59,46,1.12,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,58:17,0,0:00,78.8,0,0:00,No,0,0,0,0,26:34.72,2,0.0,18,18,18,0,0,0,8,garmin,0
2020-11-06 10:23:06,Golf,2020-11-06 10:23:06,False,Douglas County Golf,8.44,"1,367",04:42:24,105,157,1.5,0,0,1.8,13.3,879,794,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,4:42:24,0,0:00,78.8,0,0:00,No,0,0,0,0,17:56.41,9,0.0,13,13,13,0,0,0,8,garmin,0
2020-11-04 13:49:07,Running,2020-11-04 13:49:07,False,Denver Running,2.83,366,00:26:31,169,180,3.9,145,157,0 days 00:09:22,0 days 00:08:07,33,46,1.18,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,26:31,0,0:00,84.2,0,0:00,No,0,0,0,0,07:53.93,3,0.0,16,16,16,0,0,0,8,garmin,0
2020-10-30 14:27:52,Virtual Cycling,2020-10-30 14:27:52,False,Zwift - Paris,10.32,307,00:35:07,141,179,0.0,0,0,17.6,34.0,302,0,0.0,0.0,0.0,0,0,89,117,192,0.0,164,151,684,0.0,0.0,0,0,0,0,0,35:07,0,0:00,0.0,0,0:00,No,0,0,0,0,35:07.00,1,0.0,0,0,0,0,0,0,8,garmin,0
2020-10-29 11:11:03,Running,2020-10-29 11:11:03,False,Denver Running,2.80,398,00:27:58,175,186,3.8,147,156,0 days 00:10:00,0 days 00:08:26,20,13,1.1,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,27:58,0,0:00,73.4,0,0:00,No,0,0,0,0,08:22.46,3,0.0,18,18,18,0,0,0,8,garmin,0
2020-10-28 17:06:30,Running,2020-10-28 17:06:30,False,Denver Running,2.58,346,00:27:11,164,183,3.7,145,168,0 days 00:10:31,0 days 00:08:21,128,49,1.06,12.0,13.1,305,50.3% L / 49.7% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,27:11,0,0:00,66.2,0,0:00,No,0,0,0,0,06:44.39,3,0.0,31,22,40,0,0,0,8,garmin,0
